"start";"end";"start-geopoint";"_start-geopoint_latitude";"_start-geopoint_longitude";"_start-geopoint_altitude";"_start-geopoint_precision";"today";"username";"deviceid";"phonenumber";"audit";"audit_URL";"Record your current location";"_Record your current location_latitude";"_Record your current location_longitude";"_Record your current location_altitude";"_Record your current location_precision";"type";"type/bench";"type/building_scaffodlings";"type/small_infrastructure";"type/floor";"type/staircase";"type/portable_seating";"type/abandoned_furniture";"Point and shoot! Use the camera to take a photo";"Point and shoot! Use the camera to take a photo_URL";"race";"race/white";"race/black";"race/hispanic";"race/asian";"noticable";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"meta/rootUuid";"_index"
"2026-07-22T14:30:07.212-04:00";"2026-07-22T14:31:34.820-04:00";"40.720754 -74.005111 1.540855598675144 37.895013999999996";"40.720754";"-74.005111";"1.540855598675144";"37.895013999999996";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.721246 -74.004589 4.55464945349814 29.8268141821804";"40.721246";"-74.004589";"4.55464945349814";"29.8268141821804";"staircase";"0";"0";"0";"0";"1";"0";"0";"";"";"black";"0";"1";"0";"0";"";"818877335";"9a301082-3e2d-4024-bbbb-44e78de04c54";"2026-07-22T18:31:35";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:9a301082-3e2d-4024-bbbb-44e78de04c54";"1"
"2026-07-22T14:31:34.839-04:00";"2026-07-22T14:32:34.268-04:00";"40.720919 -74.003985 4.294732279107063 26.983145989490986";"40.720919";"-74.003985";"4.294732279107063";"26.983145989490986";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.720362 -74.003462 11.790867019444704 22.872994699217035";"40.720362";"-74.003462";"11.790867019444704";"22.872994699217035";"portable_seating";"0";"0";"0";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"818878758";"a3d33f50-0e98-4bcd-83de-ed5c585935d1";"2026-07-22T18:32:34";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:a3d33f50-0e98-4bcd-83de-ed5c585935d1";"2"
"2026-07-22T14:32:34.318-04:00";"2026-07-22T14:32:46.666-04:00";"40.720352 -74.003381 6.253827642880854 12.895014000000002";"40.720352";"-74.003381";"6.253827642880854";"12.895014000000002";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.72037 -74.00336 5.234355750994311 11.944844650778908";"40.72037";"-74.00336";"5.234355750994311";"11.944844650778908";"portable_seating";"0";"0";"0";"0";"0";"1";"0";"";"";"black";"0";"1";"0";"0";"";"818879032";"4bdd0a1e-1965-42e9-aed6-c121a8145a0b";"2026-07-22T18:32:46";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:4bdd0a1e-1965-42e9-aed6-c121a8145a0b";"3"
"2026-07-22T14:32:46.685-04:00";"2026-07-22T14:32:57.456-04:00";"40.720383 -74.003344 5.234355750994311 11.833252769643714";"40.720383";"-74.003344";"5.234355750994311";"11.833252769643714";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.720378 -74.003301 5.355002808082055 17.84798659284344";"40.720378";"-74.003301";"5.355002808082055";"17.84798659284344";"small_infrastructure";"0";"0";"1";"0";"0";"0";"0";"";"";"black";"0";"1";"0";"0";"";"818879370";"28876c66-88b6-4af0-8b81-55e6c0578426";"2026-07-22T18:32:57";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:28876c66-88b6-4af0-8b81-55e6c0578426";"4"
"2026-07-22T14:32:57.477-04:00";"2026-07-22T14:33:12.511-04:00";"40.720395 -74.003268 5.355002808082055 26.014966187160862";"40.720395";"-74.003268";"5.355002808082055";"26.014966187160862";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.720345 -74.003198 5.388351348833734 18.175646945087294";"40.720345";"-74.003198";"5.388351348833734";"18.175646945087294";"staircase";"0";"0";"0";"0";"1";"0";"0";"";"";"black";"0";"1";"0";"0";"";"818879820";"c4c223cb-b503-4430-a89b-f3640fb40440";"2026-07-22T18:33:12";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:c4c223cb-b503-4430-a89b-f3640fb40440";"5"
"2026-07-22T14:33:12.529-04:00";"2026-07-22T14:33:28.452-04:00";"40.720254 -74.003105 8.347048651794857 30.065185601693816";"40.720254";"-74.003105";"8.347048651794857";"30.065185601693816";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.720265 -74.003099 5.783253444684295 24.295014";"40.720265";"-74.003099";"5.783253444684295";"24.295014";"small_infrastructure";"0";"0";"1";"0";"0";"0";"0";"";"";"black";"0";"1";"0";"0";"";"818880183";"24daed21-16ea-4642-85de-f3446bfa7aeb";"2026-07-22T18:33:28";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:24daed21-16ea-4642-85de-f3446bfa7aeb";"6"
"2026-07-22T14:33:43.685-04:00";"2026-07-22T14:33:51.804-04:00";"40.720164 -74.002965 24.852506520150026 17.65888495508827";"40.720164";"-74.002965";"24.852506520150026";"17.65888495508827";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.720151 -74.002945 5.622104368681356 15.680975738216677";"40.720151";"-74.002945";"5.622104368681356";"15.680975738216677";"portable_seating";"0";"0";"0";"0";"0";"1";"0";"";"";"black";"0";"1";"0";"0";"";"818880873";"79061dee-1776-4ace-8004-0897eea99c2c";"2026-07-22T18:33:52";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:79061dee-1776-4ace-8004-0897eea99c2c";"7"
"2026-07-22T14:33:51.825-04:00";"2026-07-22T14:34:35.687-04:00";"40.720148 -74.002942 5.892851295312376 19.325594407227307";"40.720148";"-74.002942";"5.892851295312376";"19.325594407227307";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.719792 -74.002667 11.084079867228866 22.5465522467621";"40.719792";"-74.002667";"11.084079867228866";"22.5465522467621";"staircase";"0";"0";"0";"0";"1";"0";"0";"";"";"white";"1";"0";"0";"0";"";"818882117";"dc5b08f1-bb04-4683-873a-1c69ba105f0b";"2026-07-22T18:34:36";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:dc5b08f1-bb04-4683-873a-1c69ba105f0b";"8"
"2026-07-22T14:34:35.863-04:00";"2026-07-22T14:34:56.781-04:00";"40.719823 -74.002661 11.084079867228866 10.695014";"40.719823";"-74.002661";"11.084079867228866";"10.695014";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.719761 -74.002582 5.3161209206439 18.686183658370048";"40.719761";"-74.002582";"5.3161209206439";"18.686183658370048";"small_infrastructure";"0";"0";"1";"0";"0";"0";"0";"";"";"black";"0";"1";"0";"0";"";"818882743";"8749ac3a-64ba-4cbf-bd4b-283d5a18ac21";"2026-07-22T18:34:57";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:8749ac3a-64ba-4cbf-bd4b-283d5a18ac21";"9"
"2026-07-22T14:34:56.801-04:00";"2026-07-22T14:35:14.206-04:00";"40.719746 -74.002513 20.891576635288775 17.409470974702575";"40.719746";"-74.002513";"20.891576635288775";"17.409470974702575";"2026-07-21";"username not found";"ee.kobotoolbox.org:sxoQrae1qiyyCg1v";"phonenumber not found";"";"";"40.71967 -74.002406 8.456363677978516 12.55566487767115";"40.71967";"-74.002406";"8.456363677978516";"12.55566487767115";"small_infrastructure";"0";"0";"1";"0";"0";"0";"0";"";"";"black";"0";"1";"0";"0";"";"818883132";"7f2e3b61-e42c-4403-839e-5a8b6b8a089b";"2026-07-22T18:35:14";"";"";"submitted_via_web";"";"vrTAXeLsr3wq8FX5jLCW8s";"";"uuid:7f2e3b61-e42c-4403-839e-5a8b6b8a089b";"10"
